time,open,high,low,close,volume
2026-06-07 00:00:00+00:00,60850.0,60901.0,60824.7109375,60897.359375,0
2026-06-07 00:05:00+00:00,60898.0,60904.05859375,60788.01171875,60830.83984375,444145664
2026-06-07 00:10:00+00:00,60831.5703125,60831.5703125,60765.23828125,60784.890625,0
2026-06-07 00:15:00+00:00,60784.6015625,60856.578125,60773.3984375,60850.33984375,14862336
2026-06-07 00:20:00+00:00,60830.0,60830.0,60780.01953125,60798.078125,49025024
2026-06-07 00:25:00+00:00,60798.0,60809.62890625,60743.44140625,60809.62890625,0
2026-06-07 00:30:00+00:00,60814.98046875,60949.1015625,60807.98046875,60902.05078125,156329984
2026-06-07 00:35:00+00:00,60904.5390625,60932.01171875,60871.7890625,60897.28125,0
2026-06-07 00:40:00+00:00,60887.83984375,60887.83984375,60763.98828125,60765.1796875,0
2026-06-07 00:45:00+00:00,60748.98828125,60787.73046875,60712.890625,60732.9609375,0
2026-06-07 00:50:00+00:00,60738.41015625,60788.01953125,60736.0,60770.23828125,682326016
2026-06-07 00:55:00+00:00,60756.44140625,60784.78125,60731.53125,60760.08984375,0
2026-06-07 01:00:00+00:00,60749.859375,61086.9609375,60725.12890625,61031.87109375,0
2026-06-07 01:05:00+00:00,61032.23046875,61354.91015625,60944.96875,61301.48828125,523472896
2026-06-07 01:10:00+00:00,61282.26953125,61354.171875,61216.55859375,61276.01953125,0
2026-06-07 01:15:00+00:00,61271.8515625,61596.94140625,61228.1484375,61482.0,782659584
2026-06-07 01:20:00+00:00,61474.140625,61578.0,61327.109375,61441.8984375,0
2026-06-07 01:25:00+00:00,61460.69140625,61630.921875,61435.94140625,61604.66015625,283875328
2026-06-07 01:30:00+00:00,61614.0,61614.0,61438.96875,61520.01171875,20062208
2026-06-07 01:35:00+00:00,61526.0,61570.28125,61386.171875,61407.46875,0
2026-06-07 01:40:00+00:00,61401.03125,61445.0390625,61368.0,61424.421875,50724864
2026-06-07 01:45:00+00:00,61426.25,61550.0,61340.0,61435.640625,0
2026-06-07 01:50:00+00:00,61425.62109375,61425.62109375,61368.0,61407.5,163835904
2026-06-07 01:55:00+00:00,61430.0,61482.58984375,61388.69140625,61441.9296875,0
2026-06-07 02:00:00+00:00,61432.140625,61505.48828125,61396.87109375,61427.98046875,0
2026-06-07 02:05:00+00:00,61426.01953125,61518.05078125,61426.01953125,61513.8984375,511555584
2026-06-07 02:10:00+00:00,61501.12109375,61503.4296875,61384.01171875,61385.5,0
2026-06-07 02:15:00+00:00,61376.19140625,61400.87109375,61252.0,61266.08984375,0
2026-06-07 02:20:00+00:00,61259.94921875,61341.73046875,61160.19921875,61274.01953125,23074816
2026-06-07 02:25:00+00:00,61271.921875,61271.921875,61157.98828125,61222.0390625,0
2026-06-07 02:30:00+00:00,61218.8203125,61280.01953125,61162.80859375,61260.359375,64217088
2026-06-07 02:35:00+00:00,61254.01171875,61282.828125,61169.6015625,61265.23828125,0
2026-06-07 02:40:00+00:00,61254.1015625,61288.53125,61216.5390625,61288.53125,0
2026-06-07 02:45:00+00:00,61285.62890625,61494.078125,61285.62890625,61468.26953125,103260160
2026-06-07 02:50:00+00:00,61459.01953125,61536.890625,61368.53125,61479.69921875,341428224
2026-06-07 02:55:00+00:00,61500.328125,61515.80859375,61463.98828125,61473.1796875,142977024
2026-06-07 03:00:00+00:00,61466.8203125,61466.8203125,61377.6796875,61417.328125,0
2026-06-07 03:05:00+00:00,61424.0,61479.66015625,61391.96875,61453.3984375,0
2026-06-07 03:10:00+00:00,61452.51953125,61501.37109375,61415.96875,61501.37109375,2562048
2026-06-07 03:15:00+00:00,61497.7109375,61747.73046875,61455.0390625,61724.0,118087680
2026-06-07 03:20:00+00:00,61698.01171875,61723.12109375,61548.328125,61598.4296875,0
2026-06-07 03:25:00+00:00,61598.37890625,61640.140625,61527.578125,61636.0,0
2026-06-07 03:30:00+00:00,61636.0,61656.8984375,61563.96875,61581.87109375,419756032
2026-06-07 03:35:00+00:00,61605.0390625,61610.25,61537.91015625,61561.4296875,184936448
2026-06-07 03:40:00+00:00,61555.33984375,61635.9609375,61520.1484375,61635.9609375,0
2026-06-07 03:45:00+00:00,61632.0,61632.0,61545.19921875,61601.51953125,526518272
2026-06-07 03:50:00+00:00,61604.6484375,61615.7890625,61577.44140625,61598.3984375,104712192
2026-06-07 03:55:00+00:00,61595.28125,61705.421875,61592.171875,61673.76171875,0
2026-06-07 04:00:00+00:00,61661.0,61678.01171875,61529.6484375,61585.87109375,0
2026-06-07 04:05:00+00:00,61582.12890625,61611.51171875,61547.390625,61564.08984375,0
2026-06-07 04:10:00+00:00,61554.578125,61554.578125,61482.44921875,61526.51953125,0
2026-06-07 04:15:00+00:00,61529.08984375,61607.78125,61529.08984375,61597.390625,17371136
2026-06-07 04:20:00+00:00,61598.921875,61598.921875,61500.01171875,61504.5390625,0
2026-06-07 04:25:00+00:00,61500.0,61537.921875,61454.4296875,61535.578125,0
2026-06-07 04:30:00+00:00,61511.66015625,61614.0390625,61511.66015625,61614.0390625,0
2026-06-07 04:35:00+00:00,61620.01171875,61682.66015625,61620.01171875,61677.16015625,58292224
2026-06-07 04:40:00+00:00,61682.69921875,61795.58984375,61668.01953125,61706.94140625,0
2026-06-07 04:45:00+00:00,61723.58984375,61796.01171875,61663.828125,61792.12890625,114507776
2026-06-07 04:50:00+00:00,61783.0703125,61828.5703125,61754.91015625,61809.98046875,0
2026-06-07 04:55:00+00:00,61808.30859375,61876.98046875,61808.30859375,61855.48046875,0
