side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-03 10:20:00,9.086,2025-06-03 10:20:00,9.086,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-03 10:20:00,9.086,2025-06-04 03:00:00,8.989,一买信号开仓,一卖信号平仓,-0.012675764913052999
short,2025-06-04 03:00:00,8.989,2025-06-04 03:00:00,8.989,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-04 03:00:00,8.989,2025-06-06 21:40:00,8.098,一买信号开仓,一卖信号平仓,-0.10112114806986316
short,2025-06-06 21:40:00,8.098,2025-06-08 23:40:00,8.393,一卖信号开仓,一买信号平仓,-0.038428747838972654
long,2025-06-08 23:40:00,8.393,2025-06-09 16:20:00,8.798,一买信号开仓,三卖信号平仓,0.04625449779578217
short,2025-06-09 16:20:00,8.798,2025-06-11 01:40:00,9.436,三卖信号开仓,三买信号平仓,-0.07451648101841335
long,2025-06-11 01:40:00,9.436,2025-06-11 18:20:00,9.448,三买信号开仓,一卖信号平仓,-0.0007282746926662292
short,2025-06-11 18:20:00,9.448,2025-06-11 18:20:00,9.448,一卖信号开仓,三买信号平仓,-0.002
long,2025-06-11 18:20:00,9.448,2025-06-11 18:20:00,9.448,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-11 18:20:00,9.448,2025-06-12 11:00:00,8.698,一卖信号开仓,一买信号平仓,0.07738187976291278
long,2025-06-12 11:00:00,8.698,2025-06-14 13:00:00,8.112,一买信号开仓,一卖信号平仓,-0.06937180961140499
short,2025-06-14 13:00:00,8.112,2025-06-15 05:40:00,7.992,一卖信号开仓,一买信号平仓,0.012792899408283988
long,2025-06-15 05:40:00,7.992,2025-06-15 22:20:00,7.927,一买信号开仓,三卖信号平仓,-0.01013313313313313
short,2025-06-15 22:20:00,7.927,2025-06-16 15:00:00,8.258,三卖信号开仓,三买信号平仓,-0.043756023716412296
long,2025-06-16 15:00:00,8.258,2025-06-17 07:40:00,7.965,三买信号开仓,一卖信号平仓,-0.03748074594332762
short,2025-06-17 07:40:00,7.965,2025-06-18 17:00:00,7.365,一卖信号开仓,一买信号平仓,0.07332956685499059
long,2025-06-18 17:00:00,7.365,2025-06-18 17:00:00,7.365,一买信号开仓,三卖信号平仓,-0.002
short,2025-06-18 17:00:00,7.365,2025-06-19 09:40:00,7.582,三卖信号开仓,三买信号平仓,-0.03146367956551255
long,2025-06-19 09:40:00,7.582,2025-06-22 21:00:00,6.455,三买信号开仓,二卖信号平仓,-0.15064151938802428
short,2025-06-22 21:00:00,6.455,2025-06-25 15:40:00,7.117,二卖信号开仓,一买信号平仓,-0.1045561580170411
long,2025-06-25 15:40:00,7.117,2025-06-26 08:20:00,7.253,一买信号开仓,一卖信号平仓,0.017109175214275796
short,2025-06-26 08:20:00,7.253,2025-06-27 17:40:00,7.004,一卖信号开仓,一买信号平仓,0.03233062181166424
long,2025-06-27 17:40:00,7.004,2025-06-28 10:20:00,7.064,一买信号开仓,一卖信号平仓,0.006566533409480437
short,2025-06-28 10:20:00,7.064,2025-06-28 10:20:00,7.064,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-28 10:20:00,7.064,2025-06-30 12:20:00,7.554,一买信号开仓,三卖信号平仓,0.06736579841449597
short,2025-06-30 12:20:00,7.554,2025-07-01 21:40:00,7.049,三卖信号开仓,一买信号平仓,0.06485199894095839
long,2025-07-01 21:40:00,7.049,2025-07-02 14:20:00,7.308,一买信号开仓,一卖信号平仓,0.03474280039721944
short,2025-07-02 14:20:00,7.308,2025-07-04 16:20:00,7.328,一卖信号开仓,一买信号平仓,-0.004736726874657869
long,2025-07-04 16:20:00,7.328,2025-07-06 01:40:00,7.375,一买信号开仓,一卖信号平仓,0.004413755458515302
short,2025-07-06 01:40:00,7.375,2025-07-10 22:20:00,9.719,一卖信号开仓,一买信号平仓,-0.3198305084745763
long,2025-07-10 22:20:00,9.719,2025-07-11 15:00:00,10.064,一买信号开仓,三卖信号平仓,0.03349747916452306
short,2025-07-11 15:00:00,10.064,2025-07-11 15:00:00,10.064,三卖信号开仓,一买信号平仓,-0.002
long,2025-07-11 15:00:00,10.064,2025-07-12 07:40:00,9.343,一买信号开仓,一卖信号平仓,-0.07364149443561208
short,2025-07-12 07:40:00,9.343,2025-07-14 09:40:00,9.641,一卖信号开仓,三买信号平仓,-0.03389553676549295
long,2025-07-14 09:40:00,9.641,2025-07-16 11:40:00,9.735,三买信号开仓,一卖信号平仓,0.007750025930920003
short,2025-07-16 11:40:00,9.735,2025-07-17 21:00:00,10.061,一卖信号开仓,一买信号平仓,-0.03548741653826415
long,2025-07-17 21:00:00,10.061,2025-07-17 21:00:00,10.061,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-17 21:00:00,10.061,2025-07-18 13:40:00,11.221,一卖信号开仓,三买信号平仓,-0.11729669018984201
long,2025-07-18 13:40:00,11.221,2025-07-18 13:40:00,11.221,三买信号开仓,二卖信号平仓,-0.002
short,2025-07-18 13:40:00,11.221,2025-07-19 23:00:00,10.513,二卖信号开仓,一买信号平仓,0.06109598075037881
long,2025-07-19 23:00:00,10.513,2025-07-20 15:40:00,11.138,一买信号开仓,二卖信号平仓,0.05745020450870353
short,2025-07-20 15:40:00,11.138,2025-07-21 08:20:00,11.347,二卖信号开仓,一买信号平仓,-0.020764589692943147
long,2025-07-21 08:20:00,11.347,2025-07-22 01:00:00,11.488,一买信号开仓,一卖信号平仓,0.010426191945007492
short,2025-07-22 01:00:00,11.488,2025-07-22 01:00:00,11.488,一卖信号开仓,一买信号平仓,-0.002
long,2025-07-22 01:00:00,11.488,2025-07-23 10:20:00,10.807,一买信号开仓,一卖信号平仓,-0.06127924791086348
short,2025-07-23 10:20:00,10.807,2025-07-24 03:00:00,10.186,一卖信号开仓,一买信号平仓,0.05546275562135661
long,2025-07-24 03:00:00,10.186,2025-07-24 03:00:00,10.186,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-24 03:00:00,10.186,2025-07-24 19:40:00,9.935,一卖信号开仓,一买信号平仓,0.022641665030433855
long,2025-07-24 19:40:00,9.935,2025-07-25 12:20:00,9.883,一买信号开仓,三卖信号平仓,-0.007234021137393241
short,2025-07-25 12:20:00,9.883,2025-07-26 05:00:00,10.23,三卖信号开仓,三买信号平仓,-0.037110796316907946
long,2025-07-26 05:00:00,10.23,2025-07-26 21:40:00,10.24,三买信号开仓,一卖信号平仓,-0.0010224828934506363
short,2025-07-26 21:40:00,10.24,2025-07-26 21:40:00,10.24,一卖信号开仓,一买信号平仓,-0.002
long,2025-07-26 21:40:00,10.24,2025-07-27 14:20:00,10.685,一买信号开仓,一卖信号平仓,0.04145703125
short,2025-07-27 14:20:00,10.685,2025-07-28 23:40:00,10.728,一卖信号开仓,三买信号平仓,-0.006024333177351291
long,2025-07-28 23:40:00,10.728,2025-07-30 09:00:00,10.035,三买信号开仓,三卖信号平仓,-0.06659731543624159
short,2025-07-30 09:00:00,10.035,2025-07-30 09:00:00,10.035,三卖信号开仓,一买信号平仓,-0.002
long,2025-07-30 09:00:00,10.035,2025-08-01 11:00:00,8.98,一买信号开仓,三卖信号平仓,-0.10713203786746384
short,2025-08-01 11:00:00,8.98,2025-08-02 03:40:00,8.849,三卖信号开仓,一买信号平仓,0.012587973273942123
long,2025-08-02 03:40:00,8.849,2025-08-03 13:00:00,8.788,一买信号开仓,一卖信号平仓,-0.008893434286360023
short,2025-08-03 13:00:00,8.788,2025-08-04 05:40:00,8.918,一卖信号开仓,一买信号平仓,-0.01679289940828399
long,2025-08-04 05:40:00,8.918,2025-08-05 15:00:00,8.943,一买信号开仓,一卖信号平仓,0.0008033191298497683
short,2025-08-05 15:00:00,8.943,2025-08-06 07:40:00,8.987,一卖信号开仓,一买信号平仓,-0.00692004920049216
long,2025-08-06 07:40:00,8.987,2025-08-08 09:40:00,9.632,一买信号开仓,一卖信号平仓,0.0697703349282297
short,2025-08-08 09:40:00,9.632,2025-08-09 02:20:00,9.837,一卖信号开仓,一买信号平仓,-0.023283222591362174
