side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-02 17:40:00,52.69,2025-06-04 03:00:00,53.77,三买信号开仓,一卖信号平仓,0.018497248054659465
short,2025-06-04 03:00:00,53.77,2025-06-04 03:00:00,53.77,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-04 03:00:00,53.77,2025-06-04 03:00:00,53.77,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-04 03:00:00,53.77,2025-06-06 21:40:00,48.46,一卖信号开仓,三买信号平仓,0.09675395201785386
long,2025-06-06 21:40:00,48.46,2025-06-06 21:40:00,48.46,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-06 21:40:00,48.46,2025-06-08 07:00:00,49.75,一卖信号开仓,一买信号平仓,-0.02861989269500609
long,2025-06-08 07:00:00,49.75,2025-06-08 23:40:00,48.73,一买信号开仓,一卖信号平仓,-0.022502512562814103
short,2025-06-08 23:40:00,48.73,2025-06-09 16:20:00,49.98,一卖信号开仓,一买信号平仓,-0.02765154935358094
long,2025-06-09 16:20:00,49.98,2025-06-10 09:00:00,50.76,一买信号开仓,一卖信号平仓,0.013606242496998712
short,2025-06-10 09:00:00,50.76,2025-06-10 09:00:00,50.76,一卖信号开仓,三买信号平仓,-0.002
long,2025-06-10 09:00:00,50.76,2025-06-10 09:00:00,50.76,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-10 09:00:00,50.76,2025-06-11 01:40:00,50.74,一卖信号开仓,三买信号平仓,-0.0016059889676911503
long,2025-06-11 01:40:00,50.74,2025-06-11 18:20:00,50.27,三买信号开仓,一卖信号平仓,-0.011262908947575865
short,2025-06-11 18:20:00,50.27,2025-06-13 03:40:00,46.38,一卖信号开仓,三买信号平仓,0.07538213646309921
long,2025-06-13 03:40:00,46.38,2025-06-13 03:40:00,46.38,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-13 03:40:00,46.38,2025-06-16 15:00:00,45.41,一卖信号开仓,一买信号平仓,0.018914187149633555
long,2025-06-16 15:00:00,45.41,2025-06-17 07:40:00,42.19,一买信号开仓,三卖信号平仓,-0.0729094913014754
