side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 21:30:00,52.78,2025-06-04 17:30:00,51.26,BOS多信号开仓,BOS空信号平仓,-0.03079878741947717
short,2025-06-04 17:30:00,51.26,2025-06-07 13:00:00,48.73,BOS空信号开仓,BOS多信号平仓,0.04735622317596566
long,2025-06-07 13:00:00,48.73,2025-06-08 06:00:00,49.51,BOS多信号开仓,BOS空信号平仓,0.01400656679663448
short,2025-06-08 06:00:00,49.51,2025-06-10 16:30:00,52.81,BOS空信号开仓,BOS多信号平仓,-0.06865320137345998
long,2025-06-10 16:30:00,52.81,2025-06-11 09:30:00,50.37,BOS多信号开仓,BOS空信号平仓,-0.04820337057375501
short,2025-06-11 09:30:00,50.37,2025-06-15 06:00:00,44.62,BOS空信号开仓,BOS多信号平仓,0.11215525114155256
long,2025-06-15 06:00:00,44.62,2025-06-17 12:30:00,41.75,BOS多信号开仓,BOS空信号平仓,-0.06632093231734648
short,2025-06-17 12:30:00,41.75,2025-06-18 09:30:00,42.36,BOS空信号开仓,BOS多信号平仓,-0.01661077844311376
long,2025-06-18 09:30:00,42.36,2025-06-19 06:30:00,41.48,BOS多信号开仓,BOS空信号平仓,-0.02277431539187924
short,2025-06-19 06:30:00,41.48,2025-06-21 09:00:00,40.46,BOS空信号开仓,BOS多信号平仓,0.022590163934426144
long,2025-06-21 09:00:00,40.46,2025-06-22 09:30:00,38.31,BOS多信号开仓,BOS空信号平仓,-0.05513890261987142
short,2025-06-22 09:30:00,38.31,2025-06-23 07:00:00,38.71,BOS空信号开仓,BOS多信号平仓,-0.012441138084051227
long,2025-06-23 07:00:00,38.71,2025-06-25 16:00:00,41.6,BOS多信号开仓,BOS空信号平仓,0.07265771118574005
short,2025-06-25 16:00:00,41.6,2025-06-29 07:30:00,39.76,BOS空信号开仓,BOS多信号平仓,0.042230769230769294
long,2025-06-29 07:30:00,39.76,2025-06-30 14:30:00,39.22,BOS多信号开仓,BOS空信号平仓,-0.01558148893360156
short,2025-06-30 14:30:00,39.22,2025-07-02 11:00:00,37.52,BOS空信号开仓,BOS多信号平仓,0.04134523202447715
long,2025-07-02 11:00:00,37.52,2025-07-05 11:00:00,39.42,BOS多信号开仓,BOS空信号平仓,0.04863965884861399
short,2025-07-05 11:00:00,39.42,2025-07-06 21:30:00,39.85,BOS空信号开仓,BOS多信号平仓,-0.012908168442415045
long,2025-07-06 21:30:00,39.85,2025-07-09 15:00:00,39.26,BOS多信号开仓,BOS空信号平仓,-0.01680552070263497
short,2025-07-09 15:00:00,39.26,2025-07-10 20:30:00,41.68,BOS空信号开仓,BOS多信号平仓,-0.06364034640855842
long,2025-07-10 20:30:00,41.68,2025-07-12 13:00:00,41.66,BOS多信号开仓,BOS空信号平仓,-0.0024798464491363453
short,2025-07-12 13:00:00,41.66,2025-07-13 15:30:00,43.64,BOS空信号开仓,BOS多信号平仓,-0.04952760441670678
long,2025-07-13 15:30:00,43.64,2025-07-15 02:30:00,42.4,BOS多信号开仓,BOS空信号平仓,-0.030414298808432716
short,2025-07-15 02:30:00,42.4,2025-07-15 18:00:00,43.4,BOS空信号开仓,BOS多信号平仓,-0.02558490566037741
long,2025-07-15 18:00:00,43.4,2025-07-18 20:30:00,44.21,BOS多信号开仓,BOS空信号平仓,0.016663594470046172
short,2025-07-18 20:30:00,44.21,2025-07-20 09:00:00,45.17,BOS空信号开仓,BOS多信号平仓,-0.023714544220764466
long,2025-07-20 09:00:00,45.17,2025-07-21 17:00:00,44.65,BOS多信号开仓,BOS空信号平仓,-0.013512065530219218
short,2025-07-21 17:00:00,44.65,2025-07-22 23:30:00,44.0,BOS空信号开仓,BOS多信号平仓,0.012557670772676334
long,2025-07-22 23:30:00,44.0,2025-07-24 07:00:00,39.73,BOS多信号开仓,BOS空信号平仓,-0.09904545454545466
short,2025-07-24 07:00:00,39.73,2025-07-26 08:30:00,41.12,BOS空信号开仓,BOS多信号平仓,-0.03698615655675819
long,2025-07-26 08:30:00,41.12,2025-07-29 14:00:00,40.59,BOS多信号开仓,BOS空信号平仓,-0.014889105058365602
short,2025-07-29 14:00:00,40.59,2025-08-03 04:00:00,35.76,BOS空信号开仓,BOS多信号平仓,0.11699482631189961
long,2025-08-03 04:00:00,35.76,2025-08-05 14:30:00,35.45,BOS多信号开仓,BOS空信号平仓,-0.0106689038031319
short,2025-08-05 14:30:00,35.45,2025-08-06 17:00:00,36.09,BOS空信号开仓,BOS多信号平仓,-0.020053596614950653
long,2025-08-06 17:00:00,36.09,2025-08-12 11:00:00,36.82,BOS多信号开仓,BOS空信号平仓,0.018227209753394202
short,2025-08-12 11:00:00,36.82,2025-08-14 03:00:00,40.03,BOS空信号开仓,BOS多信号平仓,-0.08918087995654544
long,2025-08-14 03:00:00,40.03,2025-08-18 00:30:00,36.75,BOS多信号开仓,BOS空信号平仓,-0.08393854609043216
short,2025-08-18 00:30:00,36.75,2025-08-21 13:30:00,39.49,BOS空信号开仓,BOS多信号平仓,-0.07655782312925186
long,2025-08-21 13:30:00,39.49,2025-08-25 07:00:00,41.1,BOS多信号开仓,BOS空信号平仓,0.038769815143074204
short,2025-08-25 07:00:00,41.1,2025-08-26 15:00:00,40.63,BOS空信号开仓,BOS多信号平仓,0.00943552311435525
long,2025-08-26 15:00:00,40.63,2025-08-28 17:00:00,41.22,BOS多信号开仓,BOS空信号平仓,0.012521289687422945
short,2025-08-28 17:00:00,41.22,2025-08-31 19:00:00,40.59,BOS空信号开仓,BOS多信号平仓,0.013283842794759694
long,2025-08-31 19:00:00,40.59,2025-09-09 16:00:00,49.33,BOS多信号开仓,BOS空信号平仓,0.21332397142153225
short,2025-09-09 16:00:00,49.33,2025-09-13 13:30:00,51.02,BOS空信号开仓,BOS多信号平仓,-0.0362590715588893
long,2025-09-13 13:30:00,51.02,2025-09-15 00:00:00,50.47,BOS多信号开仓,BOS空信号平仓,-0.012780086240690046
short,2025-09-15 00:00:00,50.47,2025-09-20 06:30:00,50.07,BOS空信号开仓,BOS多信号平仓,0.005925500297206178
long,2025-09-20 06:30:00,50.07,2025-09-22 06:00:00,48.75,BOS多信号开仓,BOS空信号平仓,-0.028363091671659735
short,2025-09-22 06:00:00,48.75,2025-09-23 07:00:00,49.09,BOS空信号开仓,BOS多信号平仓,-0.00897435897435894
long,2025-09-23 07:00:00,49.09,2025-09-25 14:00:00,58.01,BOS多信号开仓,BOS空信号平仓,0.17970706864941932
short,2025-09-25 14:00:00,58.01,2025-09-26 22:00:00,55.91,BOS空信号开仓,BOS多信号平仓,0.03420065505947256
long,2025-09-26 22:00:00,55.91,2025-10-03 03:30:00,128.58,BOS多信号开仓,BOS空信号平仓,1.297767483455554
short,2025-10-03 03:30:00,128.58,2025-10-04 18:00:00,151.25,BOS空信号开仓,BOS多信号平仓,-0.17831046819100949
long,2025-10-04 18:00:00,151.25,2025-10-07 14:30:00,133.48,BOS多信号开仓,BOS空信号平仓,-0.11948760330578523
short,2025-10-07 14:30:00,133.48,2025-10-09 18:00:00,200.53,BOS空信号开仓,BOS多信号平仓,-0.5043224453101589
long,2025-10-09 18:00:00,200.53,2025-10-12 12:30:00,259.5,BOS多信号开仓,BOS空信号平仓,0.29207071261157935
short,2025-10-12 12:30:00,259.5,2025-10-13 05:00:00,284.13,BOS空信号开仓,BOS多信号平仓,-0.09691329479768784
long,2025-10-13 05:00:00,284.13,2025-10-14 05:00:00,234.34,BOS多信号开仓,BOS空信号平仓,-0.17723668743180931
short,2025-10-14 05:00:00,234.34,2025-10-15 02:30:00,259.57,BOS空信号开仓,BOS多信号平仓,-0.10966407783562349
long,2025-10-15 02:30:00,259.57,2025-10-16 14:00:00,231.02,BOS多信号开仓,BOS空信号平仓,-0.11198959818160803
short,2025-10-16 14:00:00,231.02,2025-10-17 21:00:00,226.15,BOS空信号开仓,BOS多信号平仓,0.019080425937148315
long,2025-10-17 21:00:00,226.15,2025-10-21 10:00:00,247.29,BOS多信号开仓,BOS空信号平仓,0.0914777802343576
short,2025-10-21 10:00:00,247.29,2025-10-24 13:30:00,270.65,BOS空信号开仓,BOS多信号平仓,-0.09646398964778191
long,2025-10-24 13:30:00,270.65,2025-10-28 01:30:00,329.36,BOS多信号开仓,BOS空信号平仓,0.21492222427489382
short,2025-10-28 01:30:00,329.36,2025-10-29 19:30:00,350.72,BOS空信号开仓,BOS多信号平仓,-0.06685304833616712
long,2025-10-29 19:30:00,350.72,2025-10-30 14:00:00,331.38,BOS多信号开仓,BOS空信号平仓,-0.05714370437956218
short,2025-10-30 14:00:00,331.38,2025-10-31 21:30:00,396.74,BOS空信号开仓,BOS多信号平仓,-0.1992358017985394
long,2025-10-31 21:30:00,396.74,2025-11-08 14:00:00,532.03,BOS多信号开仓,BOS空信号平仓,0.3390041841004183
short,2025-11-08 14:00:00,532.03,2025-11-10 04:00:00,660.96,BOS空信号开仓,BOS多信号平仓,-0.24433595849858114
long,2025-11-10 04:00:00,660.96,2025-11-10 23:00:00,524.4,BOS多信号开仓,BOS空信号平仓,-0.20860856935366745
short,2025-11-10 23:00:00,524.4,2025-11-13 23:30:00,530.24,BOS空信号开仓,BOS多信号平仓,-0.01313653699466055
long,2025-11-13 23:30:00,530.24,2025-11-17 18:30:00,640.07,BOS多信号开仓,BOS空信号平仓,0.20513261919130965
short,2025-11-17 18:30:00,640.07,2025-11-19 21:00:00,653.28,BOS空信号开仓,BOS多信号平仓,-0.02263836767853511
long,2025-11-19 21:00:00,653.28,2025-11-21 04:00:00,647.89,BOS多信号开仓,BOS空信号平仓,-0.010250673524369367
short,2025-11-21 04:00:00,647.89,2025-11-23 20:00:00,605.23,BOS空信号开仓,BOS多信号平仓,0.06384451064223862
long,2025-11-23 20:00:00,605.23,2025-11-24 23:00:00,531.37,BOS多信号开仓,BOS空信号平仓,-0.1240362506815591
short,2025-11-24 23:00:00,531.37,2025-11-27 02:30:00,549.5,BOS空信号开仓,BOS多信号平仓,-0.036119351864049465
long,2025-11-27 02:30:00,549.5,2025-11-27 13:00:00,500.0,BOS多信号开仓,BOS空信号平仓,-0.09208189262966338
short,2025-11-27 13:00:00,500.0,2025-11-30 01:00:00,465.86,BOS空信号开仓,BOS多信号平仓,0.06628
