side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-05 04:00:00,1.198e-05,2025-06-13 12:00:00,1.081e-05,三卖信号开仓,一买信号平仓,0.09566277128547584
long,2025-06-13 12:00:00,1.081e-05,2025-06-21 20:00:00,9.48e-06,一买信号开仓,一卖信号平仓,-0.1250342275670675
short,2025-06-21 20:00:00,9.48e-06,2025-07-05 09:00:00,9.81e-06,一卖信号开仓,二买信号平仓,-0.036810126582278224
long,2025-07-05 09:00:00,9.81e-06,2025-07-09 13:00:00,1.031e-05,二买信号开仓,二卖信号平仓,0.04896839959225274
short,2025-07-09 13:00:00,1.031e-05,2025-07-26 05:00:00,1.254e-05,二卖信号开仓,一买信号平仓,-0.21829485935984483
long,2025-07-26 05:00:00,1.254e-05,2025-07-27 06:00:00,1.263e-05,一买信号开仓,一卖信号平仓,0.005177033492822948
short,2025-07-27 06:00:00,1.263e-05,2025-08-02 12:00:00,1.039e-05,一卖信号开仓,一买信号平仓,0.17535550277117962
long,2025-08-02 12:00:00,1.039e-05,2025-08-04 14:00:00,1.058e-05,一买信号开仓,一卖信号平仓,0.016286814244465875
short,2025-08-04 14:00:00,1.058e-05,2025-08-12 22:00:00,1.219e-05,一卖信号开仓,一买信号平仓,-0.15417391304347827
long,2025-08-12 22:00:00,1.219e-05,2025-08-15 00:00:00,1.105e-05,一买信号开仓,一卖信号平仓,-0.09551927809680072
short,2025-08-15 00:00:00,1.105e-05,2025-08-19 04:00:00,1.047e-05,一卖信号开仓,一买信号平仓,0.05048868778280535
long,2025-08-19 04:00:00,1.047e-05,2025-08-21 06:00:00,1.069e-05,一买信号开仓,二卖信号平仓,0.01901241642788909
short,2025-08-21 06:00:00,1.069e-05,2025-08-21 06:00:00,1.069e-05,二卖信号开仓,一买信号平仓,-0.002
long,2025-08-21 06:00:00,1.069e-05,2025-08-31 16:00:00,9.87e-06,一买信号开仓,三卖信号平仓,-0.07870720299345169
short,2025-08-31 16:00:00,9.87e-06,2025-09-12 03:00:00,1.067e-05,三卖信号开仓,三买信号平仓,-0.08305369807497454
long,2025-09-12 03:00:00,1.067e-05,2025-09-14 05:00:00,1.165e-05,三买信号开仓,一卖信号平仓,0.08984629803186506
short,2025-09-14 05:00:00,1.165e-05,2025-09-18 09:00:00,1.146e-05,一卖信号开仓,一买信号平仓,0.014309012875536433
long,2025-09-18 09:00:00,1.146e-05,2025-09-22 13:00:00,9.72e-06,一买信号开仓,三卖信号平仓,-0.1538324607329843
short,2025-09-22 13:00:00,9.72e-06,2025-09-24 15:00:00,9.79e-06,三卖信号开仓,一买信号平仓,-0.009201646090534863
long,2025-09-24 15:00:00,9.79e-06,2025-09-27 18:00:00,9.27e-06,一买信号开仓,三卖信号平仓,-0.0551154239019408
short,2025-09-27 18:00:00,9.27e-06,2025-10-23 19:00:00,6.95e-06,三卖信号开仓,一买信号平仓,0.248269687162891
long,2025-10-23 19:00:00,6.95e-06,2025-11-01 03:00:00,6.59e-06,一买信号开仓,三卖信号平仓,-0.05379856115107928
short,2025-11-01 03:00:00,6.59e-06,2025-11-05 07:00:00,5.71e-06,三卖信号开仓,一买信号平仓,0.1315356600910469
long,2025-11-05 07:00:00,5.71e-06,2025-12-07 14:00:00,4.45e-06,一买信号开仓,三卖信号平仓,-0.2226654991243433
short,2025-12-07 14:00:00,4.45e-06,2025-12-22 04:00:00,4.02e-06,三卖信号开仓,三买信号平仓,0.09462921348314612
long,2025-12-22 04:00:00,4.02e-06,2026-01-05 18:00:00,6.92e-06,三买信号开仓,一卖信号平仓,0.7193930348258708
short,2026-01-05 18:00:00,6.92e-06,2026-01-14 02:00:00,6.63e-06,一卖信号开仓,一买信号平仓,0.03990751445086704
long,2026-01-14 02:00:00,6.63e-06,2026-01-22 10:00:00,5.16e-06,一买信号开仓,三卖信号平仓,-0.22371945701357476
short,2026-01-22 10:00:00,5.16e-06,2026-02-03 22:00:00,4.25e-06,三卖信号开仓,一买信号平仓,0.1743565891472868
long,2026-02-03 22:00:00,4.25e-06,2026-02-12 06:00:00,3.68e-06,一买信号开仓,三卖信号平仓,-0.13611764705882357
short,2026-02-12 06:00:00,3.68e-06,2026-02-16 10:00:00,4.52e-06,三卖信号开仓,三买信号平仓,-0.2302608695652173
long,2026-02-16 10:00:00,4.52e-06,2026-03-17 14:00:00,3.66e-06,三买信号开仓,一卖信号平仓,-0.19226548672566368
short,2026-03-17 14:00:00,3.66e-06,2026-03-20 17:00:00,3.43e-06,一卖信号开仓,一买信号平仓,0.060841530054644766
long,2026-03-20 17:00:00,3.43e-06,2026-03-30 02:00:00,3.34e-06,一买信号开仓,三卖信号平仓,-0.028239067055393585
short,2026-03-30 02:00:00,3.34e-06,2026-04-01 04:00:00,3.42e-06,三卖信号开仓,一买信号平仓,-0.025952095808383202
long,2026-04-01 04:00:00,3.42e-06,2026-04-02 05:00:00,3.29e-06,一买信号开仓,一卖信号平仓,-0.04001169590643272
short,2026-04-02 05:00:00,3.29e-06,2026-04-06 09:00:00,3.47e-06,一卖信号开仓,一买信号平仓,-0.05671124620060786
long,2026-04-06 09:00:00,3.47e-06,2026-04-12 15:00:00,3.45e-06,一买信号开仓,一卖信号平仓,-0.0077636887608069065
short,2026-04-12 15:00:00,3.45e-06,2026-04-17 20:00:00,4.04e-06,一卖信号开仓,二买信号平仓,-0.17301449275362324
long,2026-04-17 20:00:00,4.04e-06,2026-04-22 00:00:00,3.82e-06,二买信号开仓,一卖信号平仓,-0.056455445544554506
short,2026-04-22 00:00:00,3.82e-06,2026-04-28 06:00:00,3.89e-06,一卖信号开仓,三买信号平仓,-0.02032460732984287
long,2026-04-28 06:00:00,3.89e-06,2026-05-02 10:00:00,3.94e-06,三买信号开仓,一卖信号平仓,0.01085347043701801
short,2026-05-02 10:00:00,3.94e-06,2026-05-08 16:00:00,4.28e-06,一卖信号开仓,一买信号平仓,-0.08829441624365453
long,2026-05-08 16:00:00,4.28e-06,2026-05-31 23:30:00,3.43e-06,一买信号开仓,回测结束强制平仓,-0.20059813084112144
