side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
short,2025-06-08 07:00:00,1.147e-05,2025-06-12 11:00:00,1.232e-05,一卖信号开仓,一买信号平仓,-0.07610636442894503
long,2025-06-12 11:00:00,1.232e-05,2025-06-15 14:00:00,1.12e-05,一买信号开仓,一卖信号平仓,-0.09290909090909105
short,2025-06-15 14:00:00,1.12e-05,2025-06-23 22:00:00,9.53e-06,一卖信号开仓,一买信号平仓,0.14710714285714277
long,2025-06-23 22:00:00,9.53e-06,2025-06-30 04:00:00,1.007e-05,一买信号开仓,一卖信号平仓,0.054663168940188855
short,2025-06-30 04:00:00,1.007e-05,2025-07-04 08:00:00,9.72e-06,一卖信号开仓,一买信号平仓,0.0327567030784508
long,2025-07-04 08:00:00,9.72e-06,2025-07-08 12:00:00,9.99e-06,一买信号开仓,一卖信号平仓,0.025777777777777677
short,2025-07-08 12:00:00,9.99e-06,2025-07-16 20:00:00,1.379e-05,一卖信号开仓,一买信号平仓,-0.38238038038038047
long,2025-07-16 20:00:00,1.379e-05,2025-07-16 20:00:00,1.379e-05,一买信号开仓,一卖信号平仓,-0.002
short,2025-07-16 20:00:00,1.379e-05,2025-07-18 22:00:00,1.298e-05,一卖信号开仓,一买信号平仓,0.056738216098622285
long,2025-07-18 22:00:00,1.298e-05,2025-07-22 01:00:00,1.407e-05,一买信号开仓,一卖信号平仓,0.08197534668721129
short,2025-07-22 01:00:00,1.407e-05,2025-07-26 05:00:00,1.254e-05,一卖信号开仓,一买信号平仓,0.1067420042643924
long,2025-07-26 05:00:00,1.254e-05,2025-07-27 06:00:00,1.263e-05,一买信号开仓,一卖信号平仓,0.005177033492822948
short,2025-07-27 06:00:00,1.263e-05,2025-07-30 09:00:00,1.152e-05,一卖信号开仓,一买信号平仓,0.08588598574821849
long,2025-07-30 09:00:00,1.152e-05,2025-08-04 14:00:00,1.058e-05,一买信号开仓,一卖信号平仓,-0.08359722222222221
short,2025-08-04 14:00:00,1.058e-05,2025-08-07 17:00:00,1.074e-05,一卖信号开仓,一买信号平仓,-0.017122873345935652
long,2025-08-07 17:00:00,1.074e-05,2025-08-09 19:00:00,1.237e-05,一买信号开仓,一卖信号平仓,0.14976908752327733
short,2025-08-09 19:00:00,1.237e-05,2025-08-12 22:00:00,1.219e-05,一卖信号开仓,一买信号平仓,0.012551333872271588
long,2025-08-12 22:00:00,1.219e-05,2025-08-15 00:00:00,1.105e-05,一买信号开仓,一卖信号平仓,-0.09551927809680072
short,2025-08-15 00:00:00,1.105e-05,2025-08-16 01:00:00,1.093e-05,一卖信号开仓,一买信号平仓,0.00885972850678718
long,2025-08-16 01:00:00,1.093e-05,2025-08-20 05:00:00,1.039e-05,一买信号开仓,一卖信号平仓,-0.05140530649588293
short,2025-08-20 05:00:00,1.039e-05,2025-08-21 06:00:00,1.069e-05,一卖信号开仓,一买信号平仓,-0.030873917228103842
long,2025-08-21 06:00:00,1.069e-05,2025-08-27 12:00:00,1.018e-05,一买信号开仓,一卖信号平仓,-0.04970813844714672
short,2025-08-27 12:00:00,1.018e-05,2025-08-30 15:00:00,9.87e-06,一卖信号开仓,一买信号平仓,0.028451866404715198
long,2025-08-30 15:00:00,9.87e-06,2025-09-04 20:00:00,9.4e-06,一买信号开仓,一卖信号平仓,-0.049619047619047674
short,2025-09-04 20:00:00,9.4e-06,2025-09-15 06:00:00,1.16e-05,一卖信号开仓,一买信号平仓,-0.23604255319148937
long,2025-09-15 06:00:00,1.16e-05,2025-10-02 23:00:00,1.019e-05,一买信号开仓,一卖信号平仓,-0.12355172413793103
short,2025-10-02 23:00:00,1.019e-05,2025-10-11 07:00:00,6.92e-06,一卖信号开仓,一买信号平仓,0.31890284592737983
long,2025-10-11 07:00:00,6.92e-06,2025-10-14 10:00:00,7.3e-06,一买信号开仓,一卖信号平仓,0.052913294797688026
short,2025-10-14 10:00:00,7.3e-06,2025-10-16 12:00:00,7.26e-06,一卖信号开仓,一买信号平仓,0.003479452054794609
long,2025-10-16 12:00:00,7.26e-06,2025-10-20 16:00:00,7.17e-06,一买信号开仓,一卖信号平仓,-0.014396694214875992
short,2025-10-20 16:00:00,7.17e-06,2025-10-23 19:00:00,6.95e-06,一卖信号开仓,一买信号平仓,0.028683403068340274
long,2025-10-23 19:00:00,6.95e-06,2025-10-24 20:00:00,7.14e-06,一买信号开仓,一卖信号平仓,0.025338129496402795
short,2025-10-24 20:00:00,7.14e-06,2025-11-05 07:00:00,5.71e-06,一卖信号开仓,一买信号平仓,0.19828011204481788
long,2025-11-05 07:00:00,5.71e-06,2025-11-14 16:00:00,5.21e-06,一买信号开仓,一卖信号平仓,-0.08956567425569184
short,2025-11-14 16:00:00,5.21e-06,2025-11-23 00:00:00,4.12e-06,一卖信号开仓,一买信号平仓,0.20721305182341643
long,2025-11-23 00:00:00,4.12e-06,2025-12-04 11:00:00,4.82e-06,一买信号开仓,一卖信号平仓,0.16790291262135892
short,2025-12-04 11:00:00,4.82e-06,2025-12-15 22:00:00,4.03e-06,一卖信号开仓,一买信号平仓,0.1619004149377592
long,2025-12-15 22:00:00,4.03e-06,2025-12-29 11:00:00,4.16e-06,一买信号开仓,一卖信号平仓,0.030258064516129002
short,2025-12-29 11:00:00,4.16e-06,2025-12-31 13:00:00,4.1e-06,一卖信号开仓,一买信号平仓,0.012423076923076983
long,2025-12-31 13:00:00,4.1e-06,2026-01-05 18:00:00,6.92e-06,一买信号开仓,一卖信号平仓,0.6858048780487807
short,2026-01-05 18:00:00,6.92e-06,2026-01-14 02:00:00,6.63e-06,一卖信号开仓,一买信号平仓,0.03990751445086704
long,2026-01-14 02:00:00,6.63e-06,2026-03-17 14:00:00,3.66e-06,一买信号开仓,一卖信号平仓,-0.44996380090497734
short,2026-03-17 14:00:00,3.66e-06,2026-03-20 17:00:00,3.43e-06,一卖信号开仓,一买信号平仓,0.060841530054644766
long,2026-03-20 17:00:00,3.43e-06,2026-04-02 05:00:00,3.29e-06,一买信号开仓,一卖信号平仓,-0.04281632653061229
short,2026-04-02 05:00:00,3.29e-06,2026-04-06 09:00:00,3.47e-06,一卖信号开仓,一买信号平仓,-0.05671124620060786
long,2026-04-06 09:00:00,3.47e-06,2026-04-12 15:00:00,3.45e-06,一买信号开仓,一卖信号平仓,-0.0077636887608069065
short,2026-04-12 15:00:00,3.45e-06,2026-04-16 19:00:00,3.99e-06,一卖信号开仓,一买信号平仓,-0.15852173913043477
long,2026-04-16 19:00:00,3.99e-06,2026-04-17 20:00:00,4.04e-06,一买信号开仓,一卖信号平仓,0.01053132832080217
short,2026-04-17 20:00:00,4.04e-06,2026-04-19 22:00:00,3.69e-06,一卖信号开仓,一买信号平仓,0.08463366336633671
long,2026-04-19 22:00:00,3.69e-06,2026-04-22 00:00:00,3.82e-06,一买信号开仓,一卖信号平仓,0.033230352303523114
short,2026-04-22 00:00:00,3.82e-06,2026-05-08 16:00:00,4.28e-06,一卖信号开仓,一买信号平仓,-0.12241884816753923
long,2026-05-08 16:00:00,4.28e-06,2026-05-22 05:00:00,3.78e-06,一买信号开仓,一卖信号平仓,-0.11882242990654202
short,2026-05-22 05:00:00,3.78e-06,2026-05-28 11:00:00,3.34e-06,一卖信号开仓,一买信号平仓,0.11440211640211628
long,2026-05-28 11:00:00,3.34e-06,2026-05-31 23:30:00,3.43e-06,一买信号开仓,回测结束强制平仓,0.02494610778443107
